client_id,age,gender,region,article_type,purchase_amount,discount_received,time_of_purchase,payment_method,delivery_option,loyalty_score
0,37.0,M,East,Electronics,34.239999999999995,False,4.0,Cash,Pickup,88.37
1,51.0,,North,Clothing,109.03,True,22.0,Debit Card,Standard,118.26
2,39.0,M,West,Electronics,143.26999999999998,False,21.0,Bank Transfer,Standard,100.38
3,33.0,F,West,Clothing,33.1,True,9.0,Debit Card,Standard,87.8
4,30.0,F,North,Toys,74.77000000000001,False,17.0,PayPal,Pickup,59.89
5,24.0,F,South,Toys,101.58,True,21.0,Credit Card,Pickup,70.79
6,19.0,F,Central,Toys,127.05,False,7.0,Credit Card,Express,62.27
7,21.0,M,Central,Electronics,93.75999999999999,False,13.0,Credit Card,Express,58.13
8,43.0,M,North,Clothing,101.46000000000001,False,23.0,Credit Card,Standard,84.48
9,44.0,F,Central,Toys,100.93,False,0.0,Credit Card,Express,80.47
10,32.0,M,West,Toys,75.12,False,23.0,Credit Card,Standard,47.56
11,42.0,F,West,Clothing,114.86,False,,Debit Card,Express,94.93
12,54.0,M,West,Home Decor,63.31,False,3.0,Debit Card,,99.16
13,54.0,M,South,Home Decor,160.51,True,21.0,Debit Card,Express,112.75
14,31.0,F,North,Electronics,51.82,True,14.0,Credit Card,Standard,94.66
15,50.0,M,South,Electronics,36.15,True,13.0,Bank Transfer,Standard,110.58
16,51.0,F,East,Clothing,16.9,False,10.0,Debit Card,Standard,82.2
17,32.0,F,South,Toys,33.55,,2.0,PayPal,Standard,76.78
18,19.0,F,West,Toys,15.810000000000002,False,12.0,Cash,Same Day,46.66
19,65.0,M,East,Electronics,78.17,False,9.0,Debit Card,Pickup,130.34
20,50.0,F,Central,Clothing,73.08,True,4.0,PayPal,Standard,129.04
21,35.0,M,North,Toys,89.56,True,14.0,Debit Card,Express,83.53
22,35.0,F,Central,Clothing,101.93,False,6.0,Credit Card,Express,320.72701606885244
23,51.0,F,West,Clothing,47.73,True,10.0,PayPal,Standard,117.61
24,25.0,F,South,Toys,46.32,False,1.0,Credit Card,Standard,54.41
25,54.0,M,South,Electronics,24.28,False,0.0,Cash,Standard,104.64
26,32.0,F,South,Toys,96.57,False,21.0,Credit Card,Standard,58.28
27,28.0,F,Central,Toys,2.4099999999999966,True,14.0,Cash,Standard,71.2
28,59.0,M,Central,Electronics,52.11,False,7.0,Credit Card,Standard,109.81
29,18.0,F,South,Clothing,135.13,False,19.0,Bank Transfer,Express,
30,30.0,M,West,Electronics,108.63,False,,PayPal,Standard,86.81
31,31.0,M,North,Toys,110.82,True,23.0,,Standard,84.16
32,43.0,M,North,Clothing,75.13,False,8.0,Debit Card,Standard,101.31
33,,M,North,Clothing,25.46,False,4.0,Credit Card,Standard,75.23
34,46.0,M,North,Home Decor,132.9,False,5.0,Debit Card,Express,
35,18.0,M,North,Toys,105.23,False,15.0,PayPal,Express,35.12
