ClientID,Age,AnnualIncome,PurchaseAmount,PurchaseFrequency,CustomerSatisfaction,Region,Ville,Latitude,Longitude,Population,Altitude,DiscountApplied,OrderMethod,PaymentMethod,TimeOfDay,ShippingCost
Client_32056,31.0,26403.674157950118,191.31478765771186,2.7083554737262814,0.4924419905964301,,Saliès,43.891,2.129,825.0,224.0,True,In-store,PayPal,Morning,1.2077876715449403
Client_34948,68.0,17408.155792540914,646.1851651403156,2.964833558736556,1.6075962827860533,La Réunion,Saint-André,-20.96,55.65,57150.0,173.0,False,Online,PayPal,Afternoon,12.85447094931351
Client_5951,52.0,32291.888915221985,185.14782634713353,3.226064149915981,1.636990997982359,,Saint-Vaize,45.812,-0.632,,28.0,False,Online,Credit Card,Evening,
Client_34865,,,702.7617339140337,5.152341853450064,-1.1235632658982269,,Goyave,16.133,-61.575,7638.0,252.0,False,Online,Credit Card,Afternoon,7.570168932095319
Client_34895,40.0,,748.0440133402687,5.130853201314048,2.1038650023900347,Martinique,Gros-Morne,14.71,,9876.0,273.0,True,Online,Credit Card,Afternoon,17.071825034391296
Client_16714,59.0,50329.78586232089,686.1636848896934,1.0316992636185822,0.9800367226453881,Loiret,Tavers,,1.616,1344.0,101.0,False,Mobile App,PayPal,Evening,7.227128816425843
Client_34964,37.0,4822.524415200674,1509.272851039957,5.681340867998805,-1.8025911312817642,Mayotte,Acoua,-12.724,45.059,5192.0,180.0,False,Mobile App,Bank Transfer,Evening,-0.6335438866107541
Client_32176,77.0,39155.15062530702,679.979172290492,0.7338698517231089,-1.523657640056535,Tarn-et-Garonne,Glatens,43.893,0.917,69.0,204.0,False,Online,PayPal,Afternoon,9.173134702532781
Client_34883,66.0,40675.77354316664,1007.7791389644922,3.84374345208401,-1.822959782877993,Guadeloupe,Vieux-Habitants,16.06,-61.764,,485.0,True,In-store,Bank Transfer,Evening,12.197151879269637
Client_34956,22.0,39464.696547522544,659.9886563810988,12.351773380090485,3.909673837021867,La Réunion,,-21.359,55.768,5074.0,996.0,False,,PayPal,Afternoon,7.7029259415556375
Client_11352,47.0,23875.659088473658,47.382598503651934,0.23908609016839275,-0.668228500628888,Haute-Garonne,Bruguières,,,5957.0,,,Mobile App,Bank Transfer,Afternoon,13.68085052523212
Client_4274,21.0,27344.449692209782,518.1327735392267,1.7654631907445806,,Aveyron,Vaureilles,44.453,2.197,493.0,,True,,Credit Card,Afternoon,17.79045848825462
Client_10909,48.0,19360.62605031111,,1.614871312713265,2.1253919387982214,Haute-Corse,Zuani,42.27,9.347,36.0,714.0,False,Online,Bank Transfer,,13.905293060252966
Client_25393,47.0,46921.309837099434,1912.6822706723333,0.9474276309220456,-1.000611531536209,Pyrénées-Atlantiques,Urdos,42.872,-0.555,68.0,1596.0,False,In-store,PayPal,Afternoon,5.303423702763302
Client_3107,72.0,38136.03644083369,858.6753711956414,,-0.8700962289790821,Ariège,Taurignan-Castet,43.04,1.092,157.0,469.0,False,,,Afternoon,
Client_27854,23.0,43677.33987766963,33.04274266610042,,7.027484554566254,Saône-et-Loire,Bresse-sur-Grosne,46.593,4.736,186.0,215.0,True,Mobile App,Bank Transfer,Morning,15.620041792570358
Client_34919,65.0,18525.203025599774,,5.95721600230792,0.6287286284329001,Guyane,Cayenne,4.938,-52.335,63468.0,8.0,False,Online,,Evening,13.763211251725716
Client_32647,44.0,31418.95076731785,435.1469763804454,1.6085866441939785,6.351830460186074,Vendée,Chantonnay,46.687,-1.05,8447.0,74.0,True,In-store,Credit Card,Morning,20.485483788241545
Client_25184,36.0,44127.29594149566,104.26828619978892,1.6679609587787172,-0.16216256860153333,Pyrénées-Atlantiques,Ledeuix,43.217,-0.622,1027.0,245.0,False,In-store,,Morning,1.0806414878187258
Client_25063,47.0,18902.69195327599,267.1549639995493,0.5656947784382403,-3.334734326154531,Pyrénées-Atlantiques,Escos,43.447,-1.0,237.0,60.0,False,Mobile App,Bank Transfer,Evening,7.066741257538777
,31.0,57850.443829608805,59.674834952804076,1.3849896043652674,0.9916973758767982,Haute-Garonne,Montastruc-la-Conseillère,43.717,1.592,3708.0,196.0,True,In-store,PayPal,Evening,11.675860888879777
,65.0,13415.451529651316,345.0367353620341,5.0280611225023275,3.6690697009100903,Guyane,Saint-Laurent-du-Maroni,5.504,-54.029,50250.0,96.0,True,In-store,Bank Transfer,Morning,12.717190700737213
Client_12917,51.0,38462.34165785236,401.3349027100585,1.044176808558593,-0.9045993798170848,Hérault,Cers,43.323,3.305,2535.0,26.0,True,In-store,PayPal,,2.7226566172055
Client_25168,31.0,33338.37457661836,554.7316811926262,4.177930219917529,4.028532265548648,Pyrénées-Atlantiques,Lanneplaà,,-0.821,304.0,120.0,False,Online,Credit Card,Evening,13.10305694517038
Client_11278,60.0,10383.541826246339,2493.158929528197,1.0475117365386626,-2.277713954545213,Haute-Garonne,Arlos,42.892,0.703,103.0,1209.0,True,Mobile App,Bank Transfer,Afternoon,8.34044856460603
Client_32000,41.0,39621.08877533904,272.0246687801475,1.4669315845629485,-0.8176751849195423,Tarn,Puybegon,43.79,1.895,646.0,214.0,True,Mobile App,Bank Transfer,Evening,4.092446593026274
Client_34331,29.0,46994.29933094648,,1.1943431434371077,-0.997493933390881,Territoire de Belfort,Reppe,47.66,7.025,330.0,375.0,False,Mobile App,Bank Transfer,Evening,6.524809385561597
Client_34856,35.0,25714.832896145137,714.0506977647084,3.800676379884195,-0.7769730883892871,Guadeloupe,Basse-Terre,15.997,-61.732,9779.0,57.0,True,In-store,PayPal,Morning,9.997344588998212
Client_25339,44.0,27299.018673788585,812.0430777169252,,2.829716605388475,Pyrénées-Atlantiques,Saint-Jean-Poudge,43.526,-0.184,69.0,178.0,,Mobile App,Bank Transfer,Morning,9.140920952330605
