ClientID,Age,AnnualIncome,PurchaseAmount,PurchaseFrequency,CustomerSatisfaction,Region,Ville,Latitude,Longitude,Population,Altitude,DiscountApplied,OrderMethod,PaymentMethod,ShippingCost
Client_5187,43.0,17794.395400318987,1468.1323535936408,0.8834745273481935,1.5855816685381914,Cantal,Vieillespesse,45.127,3.152,251.0,1023.0,False,Online,PayPal,14.901314132179033
Client_33039,39.0,12340.486256796845,288.8676696156789,0.8856536545895664,0.5437951793944382,Vienne,Pouançay,47.081,-0.073,233.0,54.0,False,Online,PayPal,5.933829064168638
Client_26776,39.0,21228.799178935362,552.3267289059604,2.14896348145733,5.538681793984919,Haut-Rhin,Kingersheim,47.79,7.334,13178.0,235.0,False,In-store,Credit Card,18.38091136544567
Client_9910,40.0,33779.87121635512,633.6724722338315,1.2075672899334493,2.3055507384170446,Eure-et-Loir,Abondant,48.785,1.44,2427.0,132.0,True,In-store,Bank Transfer,12.529952622402739
Client_5550,63.0,22640.18436328443,328.579390715243,2.8833121634649994,3.5563670383447006,Charente,Vindelle,45.72,0.121,1062.0,55.0,True,Online,Credit Card,17.512979624021533
Client_27177,26.0,2647.0282302831984,562.6269719936114,2.4794375855460364,1.6192640769569526,Rhône,Saint-Jean-la-Bussière,46.001,4.324,1187.0,496.0,False,Online,Credit Card,11.45335786234754
Client_10084,38.0,26663.753695167256,476.2421872902397,1.372217880450291,1.863101866248293,Eure-et-Loir,Landelles,48.467,1.201,634.0,192.0,False,In-store,Bank Transfer,5.9373677526931345
Client_14747,79.0,13731.668889159111,765.6048348692243,0.9787073865155199,0.7902647714222102,Jura,Frasne-les-Meulières,47.205,5.501,107.0,240.0,False,Mobile App,Bank Transfer,21.055029097111852
Client_20821,76.0,65467.95958491425,223.04491699046983,1.0920937307387724,3.221835345699753,Moselle,Bellange,48.901,6.577,55.0,249.0,True,Online,Bank Transfer,19.76773798868535
Client_1100,55.0,29549.17627296279,238.7312596738365,3.518529618593434,0.8309076705969822,Aisne,Thenelles,49.831,3.468,541.0,93.0,True,Online,Credit Card,8.092503963097784
Client_21126,23.0,37272.864678565995,1302.847458106811,1.8356693233946204,0.006498602155962541,Moselle,Laneuveville-en-Saulnois,48.868,6.434,283.0,296.0,False,In-store,Credit Card,5.994844936368523
Client_6493,66.0,30104.019479801038,872.062757180844,0.135929922411771,1.8924818906243135,Corrèze,Saint-Bonnet-près-Bort,45.502,2.414,189.0,702.0,True,In-store,Bank Transfer,6.880390672623985
Client_26021,78.0,95588.6756623633,3016.8443769664937,1.7908333515759423,2.907725686315901,Pyrénées-Orientales,Porté-Puymorens,42.548,1.832,104.0,2121.0,True,Online,Bank Transfer,19.473917413822974
Client_16537,43.0,33717.30784959529,751.6253041422106,1.6145311679317045,1.384369806567829,Loiret,Dordives,48.145,2.768,3263.0,85.0,False,In-store,Bank Transfer,15.104242673812918
Client_25163,79.0,56911.93726192576,600.7930184495331,1.6715367918085127,1.7942032662556642,Pyrénées-Atlantiques,Lalongue,43.478,-0.19,202.0,244.0,True,Mobile App,PayPal,14.90805137771289
Client_19882,63.0,50176.411173902,775.7037750694456,1.3191082954148055,1.7526579249808014,Meurthe-et-Moselle,Royaumeix,48.779,5.869,407.0,238.0,True,Online,PayPal,21.71426920035396
