country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
"Congo, Rep.",Africa,1987.0,57.47,2064095.0,4201.194936999998,COG,178.0
Bangladesh,Asia,1982.0,50.00899999999999,93074406.0,676.9818656,BGD,50.0
Algeria,Africa,1977.0,58.014,17152804.0,4910.416756000001,DZA,12.0
Malawi,Africa,1972.0,41.76600000000001,4730997.0,584.6219709,MWI,454.0
Tanzania,Africa,1952.0,41.215,8322925.0,716.6500721,TZA,834.0
Sao Tome and Principe,Africa,1982.0,60.351000000000006,98593.0,1890.218117,STP,678.0
Kuwait,Asia,1987.0,74.17399999999998,1891487.0,28118.42998,KWT,414.0
Togo,Africa,1982.0,55.471,2644765.0,1344.577953,TGO,768.0
Guatemala,Americas,1957.0,44.142,3640876.0,2617.155967,GTM,320.0
Malaysia,Asia,1987.0,69.5,16331785.0,5249.802653,MYS,458.0
Rwanda,Africa,1992.0,23.599,7290203.0,737.0685949,RWA,646.0
Singapore,Asia,2007.0,79.972,4553009.0,47143.17964,SGP,702.0
Malaysia,Asia,1962.0,55.737,8906385.0,2036.884944,MYS,458.0
Philippines,Asia,2007.0,71.688,91077287.0,3190.481016,PHL,608.0
Niger,Africa,1992.0,47.39100000000001,8392818.0,581.182725,NER,562.0
Vietnam,Asia,2002.0,73.017,80908147.0,1764.456677,VNM,704.0
Singapore,Asia,1977.0,70.795,2325300.0,11210.08948,SGP,702.0
Bulgaria,Europe,1977.0,70.81,8797022.0,7612.240438,BGR,100.0
Sao Tome and Principe,Africa,1967.0,54.425,70787.0,1384.840593,STP,678.0
Singapore,Asia,1982.0,71.76,2651869.0,15169.16112,SGP,702.0
Saudi Arabia,Asia,1992.0,68.768,16945857.0,24841.61777,SAU,682.0
Albania,Europe,1987.0,72.0,3075321.0,3738.932735,ALB,8.0
Nicaragua,Americas,1967.0,51.88399999999999,1865490.0,4643.393534000002,NIC,558.0
Angola,Africa,1982.0,39.942,7016384.0,2756.953672,AGO,24.0
Iran,Asia,1967.0,52.469,26538000.0,5906.731804999999,IRN,364.0
"Korea, Dem. Rep.",Asia,1952.0,50.056,8865488.0,1088.277758,KOR,410.0
Romania,Europe,1997.0,69.72,22562458.0,7346.547556999999,ROU,642.0
Thailand,Asia,2007.0,70.616,65068149.0,7458.396326999998,THA,764.0
Nepal,Asia,1952.0,36.157,9182536.0,545.8657228999998,NPL,524.0
Uruguay,Americas,1992.0,72.752,3149262.0,8137.004775,URY,858.0
Iran,Asia,2007.0,70.964,69453570.0,11605.71449,IRN,364.0
West Bank and Gaza,Asia,1987.0,67.046,1691210.0,5107.197384,PSE,275.0
Ireland,Europe,1977.0,72.03,3271900.0,11150.98113,IRL,372.0
Vietnam,Asia,1992.0,67.66199999999999,69940728.0,989.0231487,VNM,704.0
India,Asia,1962.0,43.605,454000000.0,658.3471509,IND,356.0
United States,Americas,1952.0,68.44,157553000.0,13990.482080000002,USA,840.0
Netherlands,Europe,1967.0,73.82,12596822.0,15363.25136,NLD,528.0
Bangladesh,Asia,1977.0,46.923,80428306.0,659.8772322000002,BGD,50.0
Montenegro,Europe,1967.0,67.178,501035.0,5907.850937,MNE,499.0
Syria,Asia,1967.0,53.655,5680812.0,1881.923632,SYR,760.0
Japan,Asia,1977.0,75.38,113872473.0,16610.37701,JPN,392.0
Bolivia,Americas,1962.0,43.428,3593918.0,2180.972546,BOL,68.0
China,Asia,1957.0,50.54896,637408000.0,575.9870009,CHN,156.0
Serbia,Europe,1962.0,64.531,7616060.0,6289.629157,SRB,688.0
Somalia,Africa,2002.0,45.93600000000001,7753310.0,882.0818218000002,SOM,706.0
France,Europe,1977.0,73.83,53165019.0,18292.63514,FRA,250.0
"Congo, Dem. Rep.",Africa,2002.0,44.966,55379852.0,241.1658765,COD,180.0
Bolivia,Americas,1977.0,50.023,5079716.0,3548.097832,BOL,68.0
Croatia,Europe,1977.0,70.64,4318673.0,11305.38517,HRV,191.0
"Yemen, Rep.",Asia,1997.0,58.02,15826497.0,2117.484526,YEM,887.0
Morocco,Africa,1982.0,59.65,20198730.0,2702.620356,MAR,504.0
Spain,Europe,1957.0,66.66,29841614.0,4564.80241,ESP,724.0
Iran,Asia,1982.0,59.62,43072751.0,7608.334602,IRN,364.0
Tunisia,Africa,1977.0,59.837,6005061.0,3120.876811,TUN,788.0
Zimbabwe,Africa,2007.0,43.487,12311143.0,469.70929810000007,ZWE,716.0
Kuwait,Asia,1962.0,60.47,358266.0,95458.11176,KWT,414.0
Chile,Americas,2007.0,78.553,16284741.0,13171.63885,CHL,152.0
"Korea, Dem. Rep.",Asia,1977.0,67.15899999999999,16325320.0,4106.301249,KOR,410.0
Turkey,Europe,1977.0,59.507,42404033.0,4269.122326,TUR,792.0
Djibouti,Africa,1977.0,46.519,228694.0,3081.761022,DJI,262.0
Swaziland,Africa,1987.0,57.678,779348.0,3984.839812,SWZ,748.0
Thailand,Asia,1977.0,62.494,44148285.0,1961.2246350000007,THA,764.0
Gabon,Africa,1962.0,40.489,455661.0,6631.459222,GAB,266.0
Bosnia and Herzegovina,Europe,1972.0,67.45,3819000.0,2860.16975,BIH,70.0
Rwanda,Africa,1962.0,43.0,3051242.0,597.4730727000001,RWA,646.0
Japan,Asia,1987.0,78.67,122091325.0,22375.94189,JPN,392.0
Swaziland,Africa,1952.0,41.407,290243.0,1148.376626,SWZ,748.0
New Zealand,Oceania,1972.0,71.89,2929100.0,16046.03728,NZL,554.0
Cameroon,Africa,2002.0,49.856,15929988.0,1934.011449,CMR,120.0
Slovenia,Europe,1962.0,69.15,1582962.0,7402.303395,SVN,705.0
Liberia,Africa,1967.0,41.536,1279406.0,713.6036482999998,LBR,430.0
"Korea, Rep.",Asia,1977.0,64.766,36436000.0,4657.22102,KOR,410.0
Slovak Republic,Europe,2007.0,74.663,5447502.0,18678.31435,SVK,703.0
Chile,Americas,1957.0,56.074,7048426.0,4315.622723,CHL,152.0
Greece,Europe,1967.0,71.0,8716441.0,8513.097016,GRC,300.0
Iceland,Europe,1982.0,76.99,233997.0,23269.6075,ISL,352.0
Sri Lanka,Asia,1957.0,61.456,9128546.0,1072.546602,LKA,144.0
Central African Republic,Africa,1952.0,35.463,1291695.0,1071.310713,CAF,140.0
Swaziland,Africa,2007.0,39.613,1133066.0,4513.480643,SWZ,748.0
Australia,Oceania,2002.0,80.37,19546792.0,30687.75473,AUS,36.0
Eritrea,Africa,2007.0,58.04,4906585.0,641.3695236000002,ERI,232.0
Uruguay,Americas,1977.0,69.48100000000001,2873520.0,6504.339663000002,URY,858.0
Ireland,Europe,2007.0,78.885,4109086.0,40675.99635,IRL,372.0
Liberia,Africa,1987.0,46.027,2269414.0,506.1138573,LBR,430.0
Ireland,Europe,1962.0,70.29,2830000.0,6631.597314,IRL,372.0
Czech Republic,Europe,1992.0,72.4,10315702.0,14297.02122,CZE,203.0
Angola,Africa,1992.0,40.647,8735988.0,2627.845685,AGO,24.0
Finland,Europe,1967.0,69.83,4605744.0,10921.63626,FIN,246.0
El Salvador,Americas,1957.0,48.57,2355805.0,3421.523218,SLV,222.0
Colombia,Americas,1962.0,57.863,17009885.0,2492.351109,COL,170.0
Taiwan,Asia,1967.0,67.5,13648692.0,2643.858681,TWN,158.0
"Korea, Dem. Rep.",Asia,1987.0,70.64699999999998,19067554.0,4106.492315,KOR,410.0
Bosnia and Herzegovina,Europe,2002.0,74.09,4165416.0,6018.975239,BIH,70.0
Germany,Europe,1977.0,72.5,78160773.0,20512.92123,DEU,276.0
"Korea, Rep.",Asia,1997.0,74.64699999999998,46173816.0,15993.52796,KOR,410.0
Indonesia,Asia,1962.0,42.518,99028000.0,849.2897700999998,IDN,360.0
Cote d'Ivoire,Africa,1987.0,54.655,10761098.0,2156.9560690000008,CIV,384.0
Kuwait,Asia,1992.0,75.19,1418095.0,34932.91959,KWT,414.0
Namibia,Africa,1952.0,41.725,485831.0,2423.780443,NAM,516.0
Zimbabwe,Africa,1967.0,53.995,4995432.0,569.7950712,ZWE,716.0
Venezuela,Americas,1987.0,70.19,17910182.0,9883.584648,VEN,862.0
"Yemen, Rep.",Asia,1992.0,55.599,13367997.0,1879.496673,YEM,887.0
Eritrea,Africa,1977.0,44.535,2512642.0,505.7538077,ERI,232.0
Bulgaria,Europe,1997.0,70.32,8066057.0,5970.38876,BGR,100.0
Gambia,Africa,2002.0,58.041,1457766.0,660.5855997,GMB,270.0
Guatemala,Americas,1972.0,53.738,5149581.0,4031.408271,GTM,320.0
Canada,Americas,1957.0,69.96,17010154.0,12489.95006,CAN,124.0
Trinidad and Tobago,Americas,1992.0,69.862,1183669.0,7370.990932,TTO,780.0
Ecuador,Americas,1992.0,69.613,10748394.0,7103.702595000002,ECU,218.0
Kuwait,Asia,1997.0,76.156,1765345.0,40300.61996,KWT,414.0
Slovak Republic,Europe,1952.0,64.36,3558137.0,5074.659104,SVK,703.0
Sudan,Africa,1977.0,47.8,17104986.0,2202.988423,SDN,736.0
Trinidad and Tobago,Americas,1952.0,59.1,662850.0,3023.271928,TTO,780.0
Taiwan,Asia,1972.0,69.39,15226039.0,4062.523897,TWN,158.0
Vietnam,Asia,1977.0,55.764,50533506.0,713.5371196000001,VNM,704.0
Uruguay,Americas,1962.0,68.253,2598466.0,5603.357717,URY,858.0
Ethiopia,Africa,1972.0,43.515,30770372.0,566.2439442000001,ETH,231.0
"Hong Kong, China",Asia,1992.0,77.601,5829696.0,24757.60301,HKG,344.0
Slovenia,Europe,1957.0,67.85,1533070.0,5862.276629,SVN,705.0
Burundi,Africa,1977.0,45.91,3834415.0,556.1032651,BDI,108.0
Oman,Asia,1982.0,62.728,1301048.0,12954.79101,OMN,512.0
Gambia,Africa,1972.0,38.308,517101.0,756.0868363,GMB,270.0
New Zealand,Oceania,2002.0,79.11,3908037.0,23189.80135,NZL,554.0
Cuba,Americas,2007.0,78.273,11416987.0,8948.102923,CUB,192.0
United Kingdom,Europe,2007.0,79.425,60776238.0,33203.26128,GBR,826.0
Uganda,Africa,1977.0,50.35,11457758.0,843.7331372000001,UGA,800.0
Belgium,Europe,1982.0,73.93,9856303.0,20979.84589,BEL,56.0
Belgium,Europe,1962.0,70.25,9218400.0,10991.20676,BEL,56.0
,Africa,1982.0,58.161,31140029.0,8568.266228,ZAF,710.0
Syria,Asia,1982.0,64.59,9410494.0,3761.837715,SYR,760.0
Croatia,Europe,1967.0,68.5,4174366.0,6960.297861,HRV,191.0
Malaysia,Asia,1972.0,63.01,11441462.0,2849.09478,MYS,458.0
Albania,Europe,1962.0,64.82,1728137.0,2312.888958,ALB,8.0
"Congo, Dem. Rep.",Africa,1987.0,47.412,35481645.0,672.774812,COD,180.0
Iraq,Asia,2007.0,59.545,27499638.0,4471.061906,IRQ,368.0
Sweden,Europe,1992.0,78.16,8718867.0,23880.01683,SWE,752.0
Afghanistan,Asia,1952.0,28.801,8425333.0,779.4453145,AFG,4.0
Kenya,Africa,1957.0,44.68600000000001,7454779.0,944.4383152,KEN,404.0
Nigeria,Africa,1982.0,45.826,73039376.0,1576.97375,NGA,566.0
India,Asia,1992.0,60.223,872000000.0,1164.406809,IND,356.0
Myanmar,Asia,1967.0,49.379,25870271.0,349.0,MMR,104.0
Liberia,Africa,1992.0,40.802,1912974.0,636.6229191000001,LBR,430.0
Tanzania,Africa,1972.0,47.62,14706593.0,915.9850592,TZA,834.0
Lebanon,Asia,1962.0,62.094,1886848.0,5714.560611,LBN,422.0
Algeria,Africa,1972.0,54.518,14760787.0,4182.663766,DZA,12.0
Serbia,Europe,1977.0,70.3,8686367.0,12980.66956,SRB,688.0
"Hong Kong, China",Asia,1997.0,80.0,6495918.0,28377.63219,HKG,344.0
Pakistan,Asia,1972.0,51.929,69325921.0,1049.938981,PAK,586.0
Denmark,Europe,1952.0,70.78,4334000.0,9692.385245,DNK,208.0
Norway,Europe,1982.0,75.97,4114787.0,26298.63531,NOR,578.0
Bolivia,Americas,1997.0,62.05,7693188.0,3326.143191,BOL,68.0
Sweden,Europe,1972.0,74.72,8122293.0,17832.02464,SWE,752.0
"Yemen, Rep.",Asia,1952.0,32.548,4963829.0,781.7175761,YEM,887.0
Cambodia,Asia,1992.0,55.803,10150094.0,682.3031755,KHM,116.0
Netherlands,Europe,1957.0,72.99,11026383.0,11276.19344,NLD,528.0
Liberia,Africa,1952.0,38.48,863308.0,575.5729961000002,LBR,430.0
Syria,Asia,1972.0,57.29600000000001,6701172.0,2571.423014,SYR,760.0
Taiwan,Asia,1982.0,72.16,18501390.0,7426.3547739999985,TWN,158.0
El Salvador,Americas,2002.0,70.734,6353681.0,5351.568665999999,SLV,222.0
Italy,Europe,1982.0,74.98,56535636.0,16537.4835,ITA,380.0
Cuba,Americas,1952.0,59.42100000000001,6007797.0,5586.53878,CUB,192.0
El Salvador,Americas,1992.0,66.798,5274649.0,4444.2317,SLV,222.0
Nepal,Asia,1957.0,37.686,9682338.0,597.9363557999999,NPL,524.0
"Congo, Dem. Rep.",Africa,2007.0,46.462,64606759.0,277.5518587,COD,180.0
Belgium,Europe,2007.0,79.441,10392226.0,33692.60508,BEL,56.0
Ethiopia,Africa,1962.0,40.059,25145372.0,419.4564161,ETH,231.0
Norway,Europe,2007.0,80.196,4627926.0,49357.19017,NOR,578.0
Brazil,Americas,1952.0,50.917,56602560.0,2108.944355,BRA,76.0
Mexico,Americas,2007.0,76.195,108700891.0,11977.57496,MEX,484.0
Denmark,Europe,1992.0,75.33,5171393.0,26406.73985,DNK,208.0
Israel,Asia,1982.0,74.45,3858421.0,15367.0292,ISR,376.0
Poland,Europe,1997.0,72.75,38654957.0,10159.58368,POL,616.0
Libya,Africa,1997.0,71.555,4759670.0,9467.446056,LBY,434.0
Venezuela,Americas,1952.0,55.088,5439568.0,7689.799761,VEN,862.0
Colombia,Americas,1972.0,61.62300000000001,22542890.0,3264.660041,COL,170.0
Tunisia,Africa,1952.0,44.6,3647735.0,1468.475631,TUN,788.0
Equatorial Guinea,Africa,1967.0,38.987,259864.0,915.5960025,GNQ,226.0
United States,Americas,1982.0,74.65,232187835.0,25009.55914,USA,840.0
Sweden,Europe,1952.0,71.86,7124673.0,8527.844662000001,SWE,752.0
Philippines,Asia,1992.0,66.458,67185766.0,2279.324017000001,PHL,608.0
Ecuador,Americas,2002.0,74.173,12921234.0,5773.044512,ECU,218.0
Uganda,Africa,1952.0,39.978,5824797.0,734.753484,UGA,800.0
Slovak Republic,Europe,1967.0,70.98,4442238.0,8412.902397,SVK,703.0
Uruguay,Americas,1967.0,68.468,2748579.0,5444.61962,URY,858.0
Jamaica,Americas,1997.0,72.262,2531311.0,7121.924704000001,JAM,388.0
Jamaica,Americas,1982.0,71.21,2298309.0,6068.05135,JAM,388.0
West Bank and Gaza,Asia,1957.0,45.67100000000001,1070439.0,1827.067742,PSE,275.0
